ID,USER_ID,ORDER_DATE,STATUS,_etl_loaded_at
45,22,2018-02-17,completed,2023-09-12T23:20:11.125129
46,6,2018-02-19,completed,2023-09-12T23:20:11.125129
47,50,2018-02-20,completed,2023-09-12T23:20:11.125129
48,27,2018-02-21,completed,2023-09-12T23:20:11.125129
49,35,2018-02-21,completed,2023-09-12T23:20:11.125129
50,51,2018-02-23,completed,2023-09-12T23:20:11.125129
51,71,2018-02-24,completed,2023-09-12T23:20:11.125129
53,34,2018-02-26,completed,2023-09-12T23:20:11.125129
54,54,2018-02-26,completed,2023-09-12T23:20:11.125129
55,18,2018-02-27,completed,2023-09-12T23:20:11.125129
56,79,2018-02-28,completed,2023-09-12T23:20:11.125129
57,93,2018-03-01,completed,2023-09-12T23:20:11.125129
58,22,2018-03-01,completed,2023-09-12T23:20:11.125129
59,30,2018-03-02,completed,2023-09-12T23:20:11.125129
60,12,2018-03-03,completed,2023-09-12T23:20:11.125129
61,63,2018-03-03,completed,2023-09-12T23:20:11.125129
62,57,2018-03-05,completed,2023-09-12T23:20:11.125129
63,70,2018-03-06,completed,2023-09-12T23:20:11.125129
64,13,2018-03-07,completed,2023-09-12T23:20:11.125129
65,26,2018-03-08,completed,2023-09-12T23:20:11.125129
66,36,2018-03-10,completed,2023-09-12T23:20:11.125129
67,79,2018-03-11,completed,2023-09-12T23:20:11.125129
68,53,2018-03-11,completed,2023-09-12T23:20:11.125129
69,3,2018-03-11,completed,2023-09-12T23:20:11.125129
70,8,2018-03-12,completed,2023-09-12T23:20:11.125129
73,19,2018-03-16,completed,2023-09-12T23:20:11.125129
75,69,2018-03-18,completed,2023-09-12T23:20:11.125129
76,25,2018-03-20,completed,2023-09-12T23:20:11.125129
23,22,2018-01-26,return_pending,2023-09-12T23:20:11.125129
52,54,2018-02-25,return_pending,2023-09-12T23:20:11.125129
